RADtags,Distance_Covered,RADtags_per_bp
11,94990,0.0001158
12,159921,0.00007504
17,288266,0.00005897
13,286860,0.00004532
13,209433,0.00006207
14,436610,0.00003207
51,1234417,0.00004132
14,306677,0.00004565
7,69687,0.00010045
29,733848,0.00003952
12,372406,0.00003222
41,917200,0.0000447
14,425960,0.00003287
11,188143,0.00005847
10,268202,0.00003729
41,1046713,0.00003917
14,331039,0.00004229
7,256486,0.00002729
6,158626,0.00003782
39,944452,0.00004129
7,250345,0.00002796
20,505927,0.00003953
4,93255,0.00004289
6,115259,0.00005206
38,913677,0.00004159
8,79865,0.00010017
8,332966,0.00002403
33,781288,0.00004224
6,93074,0.00006446
10,334668,0.00002988
16,295261,0.00005419
51,1389641,0.0000367
20,183497,0.00010899
53,1014511,0.00005224
48,907141,0.00005291
12,284395,0.00004219
5,54650,0.00009149
27,680790,0.00003966
9,124644,0.00007221
8,152424,0.00005249
8,145838,0.00005486
4,49413,0.00008095
51,790216,0.00006454
13,240851,0.00005398
7,115232,0.00006075
7,102043,0.0000686
5,159874,0.00003127
15,528448,0.00002839
37,890110,0.00004157
9,130286,0.00006908
4,76276,0.00005244
6,113332,0.00005294
11,215431,0.00005106
19,194827,0.00009752
14,356090,0.00003932
5,179109,0.00002792
21,474232,0.00004428
25,643909,0.00003883
6,103111,0.00005819
16,295824,0.00005409
9,113265,0.00007946
22,577452,0.0000381
28,581448,0.00004816
34,1318688,0.00002578
4,48842,0.0000819
10,328719,0.00003042
16,282754,0.00005659
4,180844,0.00002212
9,291172,0.00003091
29,567973,0.00005106
15,433211,0.00003463
7,133181,0.00005256
32,591581,0.00005409
36,710436,0.00005067
8,371426,0.00002154
14,343579,0.00004075
5,91262,0.00005479
37,667108,0.00005546
97,2300036,0.00004217
22,446933,0.00004922
5,162393,0.00003079
8,190393,0.00004202
5,142221,0.00003516
32,763579,0.00004191
13,207164,0.00006275
15,304943,0.00004919
12,219382,0.0000547
8,116287,0.0000688
31,610002,0.00005082
31,689833,0.00004494
6,90577,0.00006624
16,247800,0.00006457
7,69108,0.00010129
21,502742,0.00004177
13,278853,0.00004662
74,1694163,0.00004368
12,156892,0.00007649
20,604252,0.0000331
5,35868,0.0001394
16,549149,0.00002914
9,251246,0.00003582
7,139065,0.00005034
75,1388726,0.00005401
75,1121852,0.00006685
11,129445,0.00008498
16,476980,0.00003354
18,355630,0.00005061
19,515027,0.00003689
45,918658,0.00004898
8,145538,0.00005497
7,124768,0.0000561
4,81244,0.00004923
78,1662828,0.00004691
9,318475,0.00002826
8,130874,0.00006113
32,547397,0.00005846
46,1315430,0.00003497
16,218231,0.00007332
4,33874,0.00011808
30,485716,0.00006176
4,142008,0.00002817
28,779789,0.00003591
8,74147,0.00010789
145,3137581,0.00004621
16,447672,0.00003574
25,873924,0.00002861
20,385152,0.00005193
28,727654,0.00003848
45,1116769,0.00004029
14,261583,0.00005352
30,925510,0.00003241
5,107888,0.00004634
5,148697,0.00003363
31,833391,0.0000372
6,89661,0.00006692
17,423342,0.00004016
10,335007,0.00002985
18,414429,0.00004343
46,1156747,0.00003977
49,1302304,0.00003763
48,1131379,0.00004243
30,538992,0.00005566
37,1103100,0.00003354
18,413859,0.00004349
23,464605,0.0000495
16,453588,0.00003527
16,512588,0.00003121
29,711698,0.00004075
11,176925,0.00006217
82,1655246,0.00004954
22,527405,0.00004171
19,657832,0.00002888
35,934652,0.00003745
19,554512,0.00003426
8,169149,0.0000473
31,737790,0.00004202
23,689674,0.00003335
17,354896,0.0000479
4,108222,0.00003696
76,1737534,0.00004374
24,684034,0.00003509
9,211890,0.00004247
4,110554,0.00003618
19,592414,0.00003207
4,40278,0.00009931
5,79308,0.00006305
135,2845808,0.00004744
10,152780,0.00006545
23,706753,0.00003254
7,123722,0.00005658
9,395991,0.00002273
9,172717,0.00005211
18,293870,0.00006125
22,382783,0.00005747
13,292728,0.00004441
4,81774,0.00004892
36,999013,0.00003604
43,790199,0.00005442
38,659575,0.00005761
14,281618,0.00004971
4,60748,0.00006585
7,192187,0.00003642
18,499835,0.00003601
4,59792,0.0000669
13,359375,0.00003617
43,736815,0.00005836
22,517446,0.00004252
5,72185,0.00006927
6,171524,0.00003498
10,405970,0.00002463
9,88973,0.00010115
8,368379,0.00002172
30,915195,0.00003278
23,684133,0.00003362
5,67779,0.00007377
5,108405,0.00004612
6,179413,0.00003344
7,91800,0.00007625
4,156258,0.0000256
14,346282,0.00004043
35,734771,0.00004763
6,105781,0.00005672
12,115845,0.00010359
18,513936,0.00003502
4,62292,0.00006421
10,387894,0.00002578
17,493445,0.00003445
13,459695,0.00002828
44,817001,0.00005386
9,170899,0.00005266
6,120290,0.00004988
10,58568,0.00017074
14,235087,0.00005955
4,172340,0.00002321
17,604508,0.00002812
12,324329,0.000037
28,663410,0.00004221
33,716309,0.00004607
20,374568,0.00005339
28,489267,0.00005723
20,335433,0.00005962
26,619195,0.00004199
6,219861,0.00002729
11,388360,0.00002832
32,619029,0.00005169
14,223896,0.00006253
25,531934,0.000047
47,1309595,0.00003589
6,229698,0.00002612
8,48852,0.00016376
14,385155,0.00003635
16,127615,0.00012538
18,403858,0.00004457
8,196678,0.00004068
35,817839,0.0000428
9,378986,0.00002375
18,366141,0.00004916
19,503276,0.00003775
39,999306,0.00003903
32,727674,0.00004398
6,92459,0.00006489
7,51072,0.00013706
10,201765,0.00004956
7,89260,0.00007842
79,2310556,0.00003419
5,36736,0.00013611
12,109305,0.00010978
16,431863,0.00003705
25,679224,0.00003681
15,377394,0.00003975
32,1004400,0.00003186
4,56003,0.00007142
6,68655,0.00008739
6,218718,0.00002743
41,1090038,0.00003761
41,1185430,0.00003459
6,108768,0.00005516
11,164757,0.00006676
14,381011,0.00003674
8,290340,0.00002755
42,939667,0.0000447
6,71429,0.000084
7,217880,0.00003213
10,267434,0.00003739
42,1011572,0.00004152
14,319622,0.0000438
25,562220,0.00004447
5,127668,0.00003916
16,181088,0.00008835
16,246920,0.0000648
45,1085131,0.00004147
18,603084,0.00002985
16,587282,0.00002724
31,1022522,0.00003032
5,197642,0.0000253
5,142273,0.00003514
25,599381,0.00004171
12,372612,0.00003221
14,311296,0.00004497
21,527939,0.00003978
7,84069,0.00008326
34,737890,0.00004608
18,292847,0.00006147
9,116789,0.00007706
32,755117,0.00004238
22,285619,0.00007703
13,275666,0.00004716
29,630427,0.000046
17,347916,0.00004886
32,761344,0.00004203
6,80184,0.00007483
21,481979,0.00004357
4,50111,0.00007982
8,302010,0.00002649
9,202519,0.00004444
32,663704,0.00004821
26,466240,0.00005577
15,280239,0.00005353
20,471607,0.00004241
13,90336,0.00014391
20,523534,0.0000382
24,325451,0.00007374
4,58126,0.00006882
79,1690769,0.00004672
20,193178,0.00010353
15,487692,0.00003076
5,206512,0.00002421
18,610274,0.00002949
7,137463,0.00005092
16,502624,0.00003183
11,180021,0.0000611
7,133786,0.00005232
10,304545,0.00003284
4,63518,0.00006297
43,1185619,0.00003627
18,490922,0.00003667
19,266526,0.00007129
12,327425,0.00003665
14,288347,0.00004855
10,149490,0.00006689
10,288083,0.00003471
40,680649,0.00005877
12,287299,0.00004177
24,626603,0.0000383
10,221006,0.00004525
19,388037,0.00004896
24,535586,0.00004481
4,31642,0.00012641
23,747316,0.00003078
21,442740,0.00004743
17,332843,0.00005108
43,764186,0.00005627
12,356037,0.0000337
18,357136,0.0000504
14,170623,0.00008205
8,346995,0.00002306
13,360436,0.00003607
16,346026,0.00004624
20,627496,0.00003187
17,407075,0.00004176
7,167557,0.00004178
18,279746,0.00006434
15,376088,0.00003988
10,209995,0.00004762
13,355875,0.00003653
41,776581,0.0000528
16,350077,0.0000457
7,257467,0.00002719
11,198253,0.00005548
29,615063,0.00004715
16,175607,0.00009111
7,118009,0.00005932
5,76119,0.00006569
7,68989,0.00010147
4,66663,0.00006
7,92248,0.00007588
14,280377,0.00004993
12,448184,0.00002677
98,2106970,0.00004651
7,237334,0.00002949
55,1235305,0.00004452
18,431668,0.0000417
7,187431,0.00003735
42,1092926,0.00003843
7,189027,0.00003703
7,102327,0.00006841
17,410701,0.00004139
6,172683,0.00003475
27,725928,0.00003719
15,351591,0.00004266
8,160466,0.00004985
14,304346,0.000046
8,206608,0.00003872
9,238237,0.00003778
16,403036,0.0000397
17,187592,0.00009062
10,124077,0.0000806
22,559550,0.00003932
4,116836,0.00003424
63,1260028,0.00005
14,325710,0.00004298
36,766131,0.00004699
8,150756,0.00005307
17,382131,0.00004449
20,334448,0.0000598
13,281590,0.00004617
5,184461,0.00002711
19,298535,0.00006364
9,185139,0.00004861
7,151910,0.00004608
12,184575,0.00006501
4,39945,0.00010014
36,684852,0.00005257
17,314438,0.00005406
9,256629,0.00003507
7,98332,0.00007119
11,274521,0.00004007
6,129957,0.00004617
9,284778,0.0000316
10,243311,0.0000411
9,254884,0.00003531
7,102429,0.00006834
14,136926,0.00010225
39,1072826,0.00003635
4,114900,0.00003481
19,302207,0.00006287
8,267923,0.00002986
5,38176,0.00013097
20,541590,0.00003693
29,561618,0.00005164
60,1460953,0.00004107
22,257900,0.0000853
11,146097,0.00007529
